date,transID,quantity,type,price,clientName,stationName,transactionType,transactionFor,journalTransactionID
2012-04-16 04:29:47,2475661953,94,R.A.M.- Electronics,73998.99,Meat Explosion,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752006625
2012-04-16 04:29:02,2475661573,4,Energized Adaptive Nano Membrane I,194999.99,Kasigi Yono,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752005092
2012-04-16 04:29:02,2475661572,1,Energized Adaptive Nano Membrane I,194999.99,Morgan Ducard,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752005089
2012-04-16 04:29:02,2475661571,2,Energized Adaptive Nano Membrane I,194999.99,Scarlett LaBlanc,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752005086
2012-04-16 04:28:55,2475661518,71,Energized Adaptive Nano Membrane I,180500.98,Scarlett LaBlanc,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752004827
2012-04-16 04:28:55,2475661517,2,Energized Adaptive Nano Membrane I,180500.98,Mostal,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752004824
2012-04-16 04:28:38,2475661402,59,Energized Adaptive Nano Membrane I,180500.96,Kasigi Yono,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752004322
2012-04-16 04:28:32,2475661357,2,Energized Adaptive Nano Membrane I,180500.96,Kasigi Yono,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752004132
2012-04-16 04:28:32,2475661356,59,Energized Adaptive Nano Membrane I,180500.96,Joe Lowkey,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752004129
2012-04-16 04:28:01,2475661075,28,Stasis Webifier I,35823.98,Leo Morgana,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752003023
2012-04-16 04:27:50,2475660964,68,Stasis Webifier I,35820.00,Fred Knucklebones,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752002597
2012-04-16 04:27:33,2475660825,8,Stasis Webifier I,35820.00,Fred Knucklebones,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752002005
2012-04-16 04:27:33,2475660822,6,Stasis Webifier I,35820.00,aurl,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001999
2012-04-16 04:27:33,2475660820,50,Stasis Webifier I,35820.00,Zaphyla Cypher,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001989
2012-04-16 04:27:33,2475660819,11,Stasis Webifier I,35820.00,mwolf00,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001986
2012-04-16 04:27:17,2475660684,22,Stasis Webifier I,35820.00,mwolf00,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001446
2012-04-16 04:27:17,2475660683,44,Stasis Webifier I,35820.00,Trish Black,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001443
2012-04-16 04:27:17,2475660682,9,Stasis Webifier I,35820.00,Monique D'Mornay,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001440
2012-04-16 04:27:06,2475660582,5,Stasis Webifier I,34998.22,Monique D'Mornay,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001043
2012-04-16 04:27:06,2475660580,8,Stasis Webifier I,34998.22,Kavaien,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001037
2012-04-16 04:27:06,2475660579,4,Stasis Webifier I,34998.22,Duncan Idaho75,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001034
2012-04-16 04:27:06,2475660578,18,Stasis Webifier I,34998.22,Bizen Osafune,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001031
2012-04-16 04:27:06,2475660576,2,Stasis Webifier I,34998.22,Shrimpy Shrooms,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001025
2012-04-16 04:27:06,2475660575,13,Stasis Webifier I,34998.22,Leahim Gaterau,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752001022
2012-04-16 04:26:58,2475660509,17,Stasis Webifier I,34998.22,Leahim Gaterau,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752000740
2012-04-16 04:26:58,2475660508,1,Stasis Webifier I,34998.22,Bariga24,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752000737
2012-04-16 04:26:58,2475660507,32,Stasis Webifier I,34998.22,Iris Jacobsen,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752000734
2012-04-16 04:26:44,2475660382,70,Stasis Webifier I,32167.68,Iris Jacobsen,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752000196
2012-04-16 04:26:44,2475660381,13,Stasis Webifier I,32167.68,Weselowsky,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752000193
2012-04-16 04:26:44,2475660380,17,Stasis Webifier I,32167.68,Zaphyla Cypher,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752000189
2012-04-16 04:26:31,2475660237,53,Stasis Webifier I,32167.68,Zaphyla Cypher,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5751999641
2012-04-16 04:26:31,2475660236,2,Stasis Webifier I,32167.68,Cerian Alderoth,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5751999637
2012-04-16 04:26:31,2475660235,1,Stasis Webifier I,32167.68,Alex Veg,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5751999634
2012-04-16 04:26:31,2475660234,44,Stasis Webifier I,32167.68,Jago Price,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5751999631
2012-04-16 03:02:57,2475615657,5043,Enriched Uranium,8699.14,Rudolf VonCracker,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751795678
2012-04-16 03:02:57,2475615656,200,Enriched Uranium,8699.14,Simon Belemonte,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751795675
2012-04-16 02:56:06,2475611586,13356,Coolant,8859.93,Udama Penken,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751778113
2012-04-16 02:55:16,2475611091,327775,Liquid Ozone,429.96,Doctor Rain,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751775276
2012-04-16 02:54:47,2475610807,277601,Heavy Water,70.99,Mayonay,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751774056
2012-04-16 02:50:18,2475608364,888800,Nitrogen Isotopes,879.92,benkobenko,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751762975
2012-04-16 02:26:42,2475594450,400,Datacore - Rocket Science,165099.99,Mr Blueberry,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751701482
2012-04-16 02:26:29,2475594311,407,Datacore - Quantum Physics,173876.03,Tharman 02,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751700934
2012-04-16 02:26:09,2475594104,262,Datacore - Molecular Engineering,213987.99,Jass Sunrunner,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751700060
2012-04-16 02:25:52,2475593931,769,Datacore - Mechanical Engineering,225066.21,Icor Colour,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751699266
2012-04-16 02:25:18,2475593624,240,Datacore - Graviton Physics,139999.94,Shoubai Caldari,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751697184
2012-04-16 02:25:18,2475593623,360,Datacore - Graviton Physics,139999.94,Eli Brask,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751697181
2012-04-16 02:24:56,2475593423,850,Datacore - Electronic Engineering,174000.00,Doctor Rain,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751696212
2012-04-16 02:24:56,2475593422,6,Datacore - Electronic Engineering,174000.00,Lucy Mot'su,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751696209
2012-04-16 02:24:56,2475593421,206,Datacore - Electronic Engineering,174000.00,Mr Pop,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751696206
2012-04-16 02:04:00,2475581832,1000,Construction Blocks,5979.43,Svendai,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751642886
2012-04-16 02:03:44,2475581716,1872,Transmitter,6999.99,GameAddiction,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751642351
2012-04-16 02:03:44,2475581715,1780,Transmitter,6999.99,Goofman,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751642346
2012-04-16 02:03:44,2475581714,4348,Transmitter,6999.99,Jass Sunrunner,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751642343
2012-04-16 02:02:53,2475581198,10000,Miniature Electronics,6778.70,Red Skelton,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751640190
2012-04-16 02:02:35,2475581008,40,Mechanical Parts,6645.97,Eli Brask,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751639405
2012-04-16 02:02:35,2475581007,2960,Mechanical Parts,6645.97,John Bering,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751639402
2012-04-16 02:01:19,2475580266,100000,Tungsten Carbide,105.95,Nightfall75g,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751636074
2012-04-16 02:01:04,2475580125,102680,Titanium Carbide,108.04,Albert Sinmato,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751635448
2012-04-16 02:00:42,2475579915,500720,Sylramic Fibers,203.98,naisoutt,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751634247
2012-04-16 02:00:16,2475579669,92000,Phenolic Composites,726.98,PrincesB,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751632411
2012-04-16 01:59:51,2475579479,236150,Nanotransistors,8628.26,roborock,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751631460
2012-04-16 01:59:51,2475579478,39500,Nanotransistors,8628.26,Whisper Willow,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751631457
2012-04-16 01:59:11,2475579097,173310,Fullerides,3299.51,Aoxo Moxoa,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751629828
2012-04-16 01:58:44,2475578858,16228,Ferrogel,8824.87,jerrythmic,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751628871
2012-04-16 01:57:36,2475578233,620098,Fernite Carbide,117.06,Dagobert I Duck,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751626259
2012-04-16 01:56:38,2475577690,5000,Fermionic Condensates,19992.00,Ghetto Bootay,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751623893
2012-04-16 01:56:14,2475577449,1956370,Crystalline Carbonide,136.98,Chris Smith,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751622833
2012-04-16 01:46:15,2475571311,22,Nuclear Reactor Unit,30000.00,Don Bloody,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751595365
2012-04-16 01:40:11,2475567597,11798715,Pyerite,7.13,Cedora Swordwarden,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751578086
2012-04-16 01:40:11,2475567596,148999,Pyerite,7.13,RavenRonien,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751578083
2012-04-16 01:40:11,2475567595,5355039,Pyerite,7.13,Tetraalo,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751578080
2012-04-16 01:40:11,2475567594,13392,Pyerite,7.13,Revan Vitra,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751578077
2012-04-16 01:38:59,2475566819,17088450,Tritanium,6.08,Tetraalo,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751574891
2012-04-16 01:38:59,2475566818,227695,Tritanium,6.08,Revan Vitra,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751574888
2012-04-16 01:38:44,2475566664,2755,Nocxium,988.99,Kalixian,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751574232
2012-04-16 01:38:44,2475566663,27993,Nocxium,988.99,RavenRonien,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751574229
2012-04-16 01:37:53,2475566191,1311,Isogen,100.89,WraithofTitan,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751572104
2012-04-16 01:37:53,2475566190,161088,Isogen,100.89,Miami Jones,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751572101
2012-04-16 01:37:53,2475566188,64871,Isogen,100.89,John Bering,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751572096
2012-04-16 01:37:53,2475566187,1871,Isogen,100.89,Striker Redux,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751572093
2012-04-16 01:37:26,2475565936,15879,Morphite,17783.93,Driftfire,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5751570978
2012-04-11 04:15:22,2470493573,5,Covetor,34500000.00,Karasu87,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728539810
2012-04-11 04:15:22,2470493572,2,Covetor,34500000.00,Lucy Mot'su,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728539806
2012-04-11 04:15:22,2470493571,1,Covetor,34500000.00,TheMoneyMakingAlt,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728539803
2012-04-11 04:14:26,2470492996,105375,Nanotransistors,8331.95,BUDZIS,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728537481
2012-04-11 04:13:51,2470492663,252900,Crystalline Carbonide,109.24,Azeporael,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728536177
2012-04-11 04:12:48,2470492017,136,Fusion Reactor Unit,31898.75,Minmat Sebtin,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728533644
2012-04-11 04:10:54,2470490845,3510,Oscillator Capacitor Unit,68000.00,Simiona,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728527978
2012-04-11 04:09:53,2470490230,1425,Pulse Shield Emitter,16389.40,Fiye Tao,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728525598
2012-04-11 04:05:41,2470487777,438,Datacore - Mechanical Engineering,230000.00,Heinaron,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728514737
2012-04-11 04:05:41,2470487776,2,Datacore - Mechanical Engineering,230000.00,Awak3n,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728514733
2012-04-11 04:05:29,2470487661,302,Datacore - Gallentean Starship Engineering,219895.71,Atom Annie,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728514248
2012-04-11 04:05:29,2470487660,8,Datacore - Gallentean Starship Engineering,219895.71,Olga Ukraine,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728514245
2012-04-11 04:05:29,2470487659,130,Datacore - Gallentean Starship Engineering,219895.71,Mr Blueberry,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728514242
2012-04-11 03:51:54,2470480801,16968,Zydrine,1803.97,Daniel Audanie,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728482203
2012-04-11 03:51:12,2470480401,3895381,Tritanium,6.17,Isenburger,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728480124
2012-04-11 03:51:12,2470480400,45903124,Tritanium,6.17,kanral,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728480121
2012-04-11 03:51:12,2470480399,201495,Tritanium,6.17,Jogan Gage,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728480118
2012-04-11 03:50:28,2470479951,30861712,Pyerite,7.07,Xurr,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728478327
2012-04-11 03:50:28,2470479950,25521549,Pyerite,7.07,Isenburger,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728478324
2012-04-11 03:50:28,2470479949,1159103,Pyerite,7.07,Sirius Xadi,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728478321
2012-04-11 03:50:28,2470479948,404480,Pyerite,7.07,Jogan Gage,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728478318
2012-04-11 03:49:37,2470479468,207188,Nocxium,910.00,ganner desh,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728476269
2012-04-11 03:49:10,2470479226,5204077,Mexallon,55.59,Isenburger,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728475286
2012-04-11 03:49:10,2470479225,2151951,Mexallon,55.59,Rosen Sensenmann,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728475283
2012-04-11 03:48:14,2470478699,599981,Isogen,90.43,Isenburger,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728473067
2012-04-11 03:48:14,2470478698,19,Isogen,90.43,Cappin A55,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728473064
2012-04-11 03:47:51,2470478523,26112,Megacyte,3420.00,Daniel Audanie,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728472298
2012-04-11 03:46:43,2470477890,874156,Isogen,90.43,Isenburger,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5728468811
2012-04-10 17:07:45,2469973452,19,Armor Explosive Hardener II,1490108.00,Duggang,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5726155466
2012-04-10 15:45:19,2469899008,1,X-Large Ship Assembly Array,150000000.00,Daedelus52,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5725815318
2012-04-10 05:14:14,2469549432,2,Ishkur,23699997.00,BeaCro,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724225175
2012-04-10 05:12:41,2469548645,5,Sabre,54999691.00,BeaCro,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724221827
2012-04-10 05:08:53,2469546459,1,Armor Explosive Hardener II,1489109.00,Meridim,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724212246
2012-04-10 04:55:40,2469539780,1,Sabre,54999691.00,Starship Clipper,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724181370
2012-04-10 04:49:41,2469536841,1,Ishkur,23699997.00,Starship Clipper,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724167210
2012-04-10 04:47:51,2469536009,1,1MN Afterburner II,1097989.00,Unndeerdog,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724163507
2012-04-10 04:39:54,2469531654,1,Ishkur,23699997.00,Shyn Eegami,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724142967
2012-04-10 04:39:47,2469531588,1,Armor Explosive Hardener II,1489109.00,Traelox,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724142708
2012-04-10 04:39:31,2469531441,1,Armor Explosive Hardener II,1489109.00,Raptibus,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724142120
2012-04-10 04:36:24,2469529588,1,1MN Afterburner II,1087998.00,Chingo Blingg,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724134475
2012-04-10 04:32:32,2469527583,1,Armor Explosive Hardener II,1489109.00,Malyer Aurilen,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724125112
2012-04-10 04:26:18,2469524251,1,Armor Explosive Hardener II,1489109.00,Craig Horton,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724109777
2012-04-10 04:26:04,2469524096,1,Armor Explosive Hardener II,1489109.00,Akari93,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724109052
2012-04-10 04:25:36,2469523840,2,Sabre,54999691.00,Hesveht Esperil,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724107309
2012-04-10 04:13:55,2469517424,1,1MN Afterburner II,1087998.00,Noa Fuyu,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724077944
2012-04-10 04:12:54,2469516867,1,Armor Explosive Hardener II,1489109.00,SETC Store,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724075545
2012-04-10 04:10:20,2469515436,5,1MN Afterburner II,1087998.00,Sol Malorion,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724068362
2012-04-10 04:05:54,2469513204,2,Armor Explosive Hardener II,1489109.00,Drunk Sex,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724058005
2012-04-10 04:04:06,2469512197,3,Tracking Enhancer II,841768.00,AHHELPME,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Corporation,5724053154
2012-04-10 04:01:32,2469510761,20,Datacore - Electronic Engineering,180372.16,Dictator IV,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5724047005
2012-04-10 04:00:18,2469510152,161,Datacore - Rocket Science,169999.90,Mr Blueberry,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5724043440
